Optimizer,Function,Params,Trials_File
WO,Rosenbrock_ShiftedRotated,"{'n_agents': 20, 'max_iter': 193}",trials_wo_Rosenbrock_ShiftedRotated.csv
WO,Rastrigin,"{'n_agents': 38, 'max_iter': 113}",trials_wo_Rastrigin.csv
WO,Rastrigin_Shifted,"{'n_agents': 20, 'max_iter': 192}",trials_wo_Rastrigin_Shifted.csv
WO,Rastrigin_Rotated,"{'n_agents': 35, 'max_iter': 180}",trials_wo_Rastrigin_Rotated.csv
WO,Rastrigin_ShiftedRotated,"{'n_agents': 40, 'max_iter': 64}",trials_wo_Rastrigin_ShiftedRotated.csv
WO,Ackley,"{'n_agents': 5, 'max_iter': 174}",trials_wo_Ackley.csv
WO,Ackley_Shifted,"{'n_agents': 25, 'max_iter': 108}",trials_wo_Ackley_Shifted.csv
WO,Ackley_Rotated,"{'n_agents': 36, 'max_iter': 132}",trials_wo_Ackley_Rotated.csv
WO,Ackley_ShiftedRotated,"{'n_agents': 37, 'max_iter': 181}",trials_wo_Ackley_ShiftedRotated.csv
WO,Griewank,"{'n_agents': 26, 'max_iter': 186}",trials_wo_Griewank.csv
WO,Griewank_Shifted,"{'n_agents': 37, 'max_iter': 78}",trials_wo_Griewank_Shifted.csv
WO,Griewank_Rotated,"{'n_agents': 18, 'max_iter': 179}",trials_wo_Griewank_Rotated.csv
WO,Griewank_ShiftedRotated,"{'n_agents': 26, 'max_iter': 168}",trials_wo_Griewank_ShiftedRotated.csv
WO,Schwefel,"{'n_agents': 28, 'max_iter': 176}",trials_wo_Schwefel.csv
WO,Schwefel_Shifted,"{'n_agents': 15, 'max_iter': 138}",trials_wo_Schwefel_Shifted.csv
WO,Schwefel_Rotated,"{'n_agents': 36, 'max_iter': 158}",trials_wo_Schwefel_Rotated.csv
WO,Schwefel_ShiftedRotated,"{'n_agents': 31, 'max_iter': 166}",trials_wo_Schwefel_ShiftedRotated.csv
